NAME,COUNT,PCT2PRACE,PCTAIAN,PCTAPI,PCTBLACK,PCTHISPANIC,PCTWHITE,NAME
ARKADIUSZ,27,0.0,0.0,0.0,0.0,0.0,100.0,ARKADIUSZ
ARKADY,23,0.0,0.0,0.0,0.0,0.0,100.0,ARKADY
ARLA,16,0.0,0.0,0.0,0.0,0.0,100.0,ARLA
ARLEEN,98,0.0,0.0,6.122,6.122,2.041,85.714,ARLEEN
ARLEN,46,0.0,0.0,0.0,0.0,2.174,97.826,ARLEN
ARLENE,878,0.0,0.228,4.67,5.581,4.67,84.852,ARLENE
ARLETTE,30,0.0,0.0,6.667,16.667,10.0,66.667,ARLETTE
ARLIE,20,0.0,0.0,0.0,0.0,0.0,100.0,ARLIE
ARLINE,43,0.0,0.0,6.977,2.326,4.651,86.047,ARLINE
ARLYN,34,0.0,0.0,11.765,2.941,5.882,79.412,ARLYN
ARMAND,77,0.0,0.0,9.091,1.299,3.896,85.714,ARMAND
ARMANDO,803,0.0,0.125,5.729,0.249,84.06,9.838,ARMANDO
ARMEN,87,0.0,0.0,3.448,0.0,2.299,94.253,ARMEN
ARMIDA,42,0.0,0.0,2.381,0.0,76.19,21.429,ARMIDA
ARMIN,31,0.0,0.0,6.452,0.0,0.0,93.548,ARMIN
ARNALDO,37,0.0,0.0,13.514,0.0,67.568,18.919,ARNALDO
ARNE,42,0.0,0.0,0.0,7.143,0.0,92.857,ARNE
ARNEL,37,0.0,0.0,81.081,0.0,2.703,16.216,ARNEL
ARNO,20,0.0,0.0,0.0,0.0,0.0,100.0,ARNO
ARNOLD,615,0.0,0.0,6.992,7.317,7.48,78.211,ARNOLD
ARNOLDO,55,0.0,0.0,0.0,0.0,94.545,5.455,ARNOLDO
ARNULFO,98,0.0,0.0,8.163,0.0,89.796,2.041,ARNULFO
ARON,87,0.0,0.0,2.299,1.149,4.598,91.954,ARON
ARSEN,19,0.0,0.0,0.0,0.0,0.0,100.0,ARSEN
ARSENIO,37,0.0,0.0,29.73,2.703,35.135,32.432,ARSENIO
ART,84,0.0,0.0,10.714,4.762,16.667,67.857,ART
ARTEMIO,54,0.0,0.0,22.222,0.0,75.926,1.852,ARTEMIO
ARTHUR,2902,0.138,0.103,3.377,7.099,6.168,83.115,ARTHUR
ARTI,35,0.0,0.0,60.0,2.857,5.714,31.429,ARTI
ARTUR,71,0.0,1.408,0.0,0.0,2.817,95.775,ARTUR
ARTURO,715,0.14,0.0,4.755,0.0,87.133,7.972,ARTURO
ARUN,131,0.0,0.763,71.756,0.763,0.763,25.954,ARUN
ARUNA,42,0.0,2.381,73.81,0.0,0.0,23.81,ARUNA
ARVIN,36,0.0,0.0,25.0,0.0,13.889,61.111,ARVIN
ARVIND,73,0.0,2.74,69.863,0.0,0.0,27.397,ARVIND
ASA,36,0.0,0.0,0.0,11.111,2.778,86.111,ASA
ASHA,82,0.0,0.0,71.951,8.537,0.0,19.512,ASHA
ASHISH,118,0.0,0.0,84.746,0.0,0.0,15.254,ASHISH
