name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 85718,28706,1203,106,35,443,2076,3905,20772,85718
ZCTA5 85719,46242,1925,661,79,1983,2928,11583,26870,85719
ZCTA5 85721,0,0,0,0,0,0,0,0,85721
ZCTA5 85723,132,2,2,0,10,1,32,85,85723
ZCTA5 85724,0,0,0,0,0,0,0,0,85724
ZCTA5 85726,11,0,0,0,4,0,7,0,85726
ZCTA5 85730,39258,1942,306,94,2528,1250,11751,21228,85730
ZCTA5 85734,4855,24,200,7,942,23,1909,1750,85734
ZCTA5 85735,10522,336,228,5,140,67,4777,4904,85735
ZCTA5 85736,4569,168,112,2,37,28,1615,2576,85736
ZCTA5 85737,22212,889,43,37,326,1007,3067,16764,85737
ZCTA5 85739,18878,578,69,18,147,207,2677,15138,85739
ZCTA5 85741,34131,1390,248,78,839,1290,10495,19630,85741
ZCTA5 85742,30057,1273,212,29,684,1039,7232,19418,85742
ZCTA5 85743,30441,1253,202,37,496,1089,7020,20184,85743
ZCTA5 85745,36774,1046,586,46,1190,1216,17895,14623,85745
ZCTA5 85746,43278,692,2616,46,775,398,30942,7694,85746
ZCTA5 85747,27703,1436,157,86,1161,958,7031,16730,85747
ZCTA5 85748,18816,787,110,26,629,746,3500,12911,85748
ZCTA5 85749,19009,750,148,20,248,375,2454,14913,85749
ZCTA5 85750,25007,1042,86,25,356,1441,3015,18920,85750
ZCTA5 85755,18277,621,53,11,261,749,2062,14458,85755
ZCTA5 85756,35345,944,551,66,1719,860,20675,10425,85756
ZCTA5 85757,21712,431,3051,34,472,199,13668,3778,85757
ZCTA5 85901,18701,733,578,7,74,180,2380,14680,85901
ZCTA5 85902,16,0,12,0,0,0,0,4,85902
ZCTA5 85911,1915,13,1842,0,4,20,22,14,85911
ZCTA5 85912,269,10,5,0,2,7,26,219,85912
